,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_loss,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
243,0.9711564540863037,0.06225963608805198,0.005551290512084961,0.0018624470172026956,1,400,50,3,10,30,deviance,0.01,"{'subsample': 1, 'n_estimators': 400, 'min_samples_split': 50, 'min_samples_leaf': 3, 'max_features': 10, 'max_depth': 30, 'loss': 'deviance', 'learning_rate': 0.01}",0.8125,0.75,0.84375,0.8125,0.6129032258064516,0.7671041925911745,0.08201675636510794,60,1.0,1.0,1.0,1.0,1.0,1.0,0.0
196,0.4696961402893066,0.020662658124774507,0.003672933578491211,0.0006959791834452866,1,400,10,4,10,150,deviance,0.1,"{'subsample': 1, 'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 10, 'max_depth': 150, 'loss': 'deviance', 'learning_rate': 0.1}",0.75,0.84375,0.8125,0.75,0.6451612903225806,0.7609959797070929,0.06777406794009966,61,1.0,1.0,1.0,1.0,1.0,1.0,0.0
71,1.6957856178283692,0.023136687794379388,0.004918146133422852,0.0002302734665996025,1,600,20,10,50,10,exponential,0.01,"{'subsample': 1, 'n_estimators': 600, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 50, 'max_depth': 10, 'loss': 'exponential', 'learning_rate': 0.01}",0.8125,0.84375,0.78125,0.75,0.6129032258064516,0.7609840145496314,0.07949270934295098,62,1.0,1.0,1.0,1.0,1.0,1.0,0.0
163,1.1791351795196534,0.05050688689968961,0.0037569522857666014,0.00013892791150614385,0.5,800,12,3,75,150,exponential,0.1,"{'subsample': 0.5, 'n_estimators': 800, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 75, 'max_depth': 150, 'loss': 'exponential', 'learning_rate': 0.1}",0.84375,0.8125,0.875,0.75,0.5161290322580645,0.760948119077247,0.12769701179206866,63,1.0,1.0,1.0,1.0,1.0,1.0,0.0
351,0.37381916046142577,0.015339767812899096,0.002659893035888672,5.34358961373736e-05,0.5,100,10,4,75,100,exponential,0.01,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 75, 'max_depth': 100, 'loss': 'exponential', 'learning_rate': 0.01}",0.8125,0.84375,0.75,0.78125,0.6129032258064516,0.760891284579305,0.07948724125889194,64,0.968503937007874,0.968503937007874,0.9606299212598425,0.9606299212598425,0.984375,0.9685285433070867,0.008670500114188611
11,4.032639217376709,0.06397351889972518,0.007188129425048828,0.0006190594376866166,0.75,800,10,4,75,200,deviance,0.001,"{'subsample': 0.75, 'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 75, 'max_depth': 200, 'loss': 'deviance', 'learning_rate': 0.001}",0.84375,0.84375,0.75,0.78125,0.5806451612903226,0.7608793194218436,0.09612376198528003,65,0.984251968503937,1.0,0.9921259842519685,0.9921259842519685,1.0,0.9937007874015749,0.005892373837439267
305,0.09918460845947266,0.01626532424356043,0.002365303039550781,0.00024402685606593973,1,100,8,1,25,30,exponential,1,"{'subsample': 1, 'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 25, 'max_depth': 30, 'loss': 'exponential', 'learning_rate': 1}",0.75,0.78125,0.875,0.6875,0.6774193548387096,0.7548877668230113,0.07165402128593389,66,1.0,1.0,1.0,1.0,1.0,1.0,0.0
316,0.5745263576507569,0.04494462808325597,0.0028944015502929688,0.00016158962328272357,0.5,100,10,4,100,200,deviance,0.1,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 100, 'max_depth': 200, 'loss': 'deviance', 'learning_rate': 0.1}",0.84375,0.78125,0.8125,0.71875,0.6129032258064516,0.754771106537762,0.08130885149899515,67,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,0.43892407417297363,0.005799776831706937,0.0026175975799560547,0.0003570598223537817,1,50,8,2,75,75,exponential,0.01,"{'subsample': 1, 'n_estimators': 50, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 75, 'max_depth': 75, 'loss': 'exponential', 'learning_rate': 0.01}",0.84375,0.78125,0.78125,0.75,0.6129032258064516,0.7546783765674356,0.07633281500227677,68,1.0,1.0,1.0,1.0,1.0,1.0,0.0
271,3.9019755840301515,0.1963927561909328,0.007627677917480469,0.0005180787206072378,0.5,1000,8,2,75,10,deviance,0.001,"{'subsample': 0.5, 'n_estimators': 1000, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 75, 'max_depth': 10, 'loss': 'deviance', 'learning_rate': 0.001}",0.84375,0.8125,0.78125,0.75,0.5806451612903226,0.7546664114099741,0.09140023900785342,69,0.984251968503937,0.9921259842519685,0.984251968503937,0.9921259842519685,1.0,0.9905511811023622,0.0058923738374392675
13,0.3611344814300537,0.018465087454244373,0.002507448196411133,0.00034373996471519393,1,50,15,4,100,50,deviance,0.01,"{'subsample': 1, 'n_estimators': 50, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 100, 'max_depth': 50, 'loss': 'deviance', 'learning_rate': 0.01}",0.84375,0.84375,0.75,0.75,0.5806451612903226,0.7546664114099741,0.09561489653012867,69,0.984251968503937,1.0,0.984251968503937,0.9921259842519685,1.0,0.9921259842519685,0.0070427337874008995
99,10.262631177902222,0.29919534404856335,0.009308958053588867,0.003579379443300082,0.5,1000,15,2,auto,30,exponential,0.01,"{'subsample': 0.5, 'n_estimators': 1000, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 30, 'loss': 'exponential', 'learning_rate': 0.01}",0.84375,0.84375,0.8125,0.75,0.5161290322580645,0.7546424810950512,0.12257845321519624,71,1.0,1.0,1.0,1.0,1.0,1.0,0.0
387,0.12659749984741211,0.01763044122852605,0.002731943130493164,0.00043014852341407645,1,200,20,4,25,30,exponential,1,"{'subsample': 1, 'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 25, 'max_depth': 30, 'loss': 'exponential', 'learning_rate': 1}",0.84375,0.8125,0.6875,0.78125,0.6451612903225806,0.7545976117545706,0.07533562201354468,72,1.0,1.0,1.0,1.0,1.0,1.0,0.0
53,5.1575844287872314,0.16092057586476874,0.007760810852050781,0.002022968206209277,1,1000,15,10,100,75,exponential,0.001,"{'subsample': 1, 'n_estimators': 1000, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 100, 'max_depth': 75, 'loss': 'exponential', 'learning_rate': 0.001}",0.84375,0.78125,0.75,0.8125,0.5806451612903226,0.7544809514693213,0.09134609413531952,73,0.9763779527559056,0.9921259842519685,0.9763779527559056,0.9921259842519685,0.984375,0.9842765748031497,0.00704290572704491
146,0.570635461807251,0.014647839911355046,0.004123783111572266,0.0008740838280926073,1,400,8,4,10,40,exponential,0.1,"{'subsample': 1, 'n_estimators': 400, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 10, 'max_depth': 40, 'loss': 'exponential', 'learning_rate': 0.1}",0.84375,0.78125,0.78125,0.6875,0.6451612903225806,0.748570163683354,0.07137718508439574,74,1.0,1.0,1.0,1.0,1.0,1.0,0.0
362,0.21621785163879395,0.012443164343003006,0.002513217926025391,0.0003341507417588664,1,200,20,5,auto,50,deviance,1,"{'subsample': 1, 'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 'auto', 'max_depth': 50, 'loss': 'deviance', 'learning_rate': 1}",0.8125,0.8125,0.75,0.71875,0.6451612903225806,0.7484774337130277,0.06261641228482065,75,1.0,1.0,1.0,1.0,1.0,1.0,0.0
67,3.601522159576416,0.0883905437966644,0.006995105743408203,0.0020626964700849043,0.75,600,12,3,75,50,deviance,0.001,"{'subsample': 0.75, 'n_estimators': 600, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 75, 'max_depth': 50, 'loss': 'deviance', 'learning_rate': 0.001}",0.8125,0.84375,0.75,0.75,0.5806451612903226,0.7483607734277783,0.09042146225007186,76,0.984251968503937,0.9921259842519685,0.984251968503937,0.9921259842519685,1.0,0.9905511811023622,0.0058923738374392675
188,0.06409988403320313,0.007205976142071363,0.003624248504638672,0.0021569689368722785,1,50,20,4,10,150,exponential,1,"{'subsample': 1, 'n_estimators': 50, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 10, 'max_depth': 150, 'loss': 'exponential', 'learning_rate': 1}",0.75,0.78125,0.75,0.78125,0.6774193548387096,0.7483039389298363,0.03768332908059995,77,1.0,1.0,1.0,1.0,1.0,1.0,0.0
60,1.242457914352417,0.02753829813148853,0.006253862380981445,0.00048813262555062596,0.5,800,15,4,10,,deviance,0.01,"{'subsample': 0.5, 'n_estimators': 800, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 10, 'max_depth': None, 'loss': 'deviance', 'learning_rate': 0.01}",0.8125,0.8125,0.8125,0.65625,0.6129032258064516,0.7423452905140231,0.08794556749174876,78,1.0,1.0,1.0,1.0,1.0,1.0,0.0
40,0.896484088897705,0.021697652293378257,0.003972005844116211,0.0003193525298423069,0.5,800,12,10,50,150,exponential,0.1,"{'subsample': 0.5, 'n_estimators': 800, 'min_samples_split': 12, 'min_samples_leaf': 10, 'max_features': 50, 'max_depth': 150, 'loss': 'exponential', 'learning_rate': 0.1}",0.78125,0.78125,0.75,0.71875,0.6774193548387096,0.7421837608882932,0.03948249620835492,79,1.0,1.0,1.0,1.0,1.0,1.0,0.0
452,0.3942600727081299,0.006865633422977448,0.0033756256103515624,0.0001276361877659112,1,600,20,3,5,50,deviance,0.1,"{'subsample': 1, 'n_estimators': 600, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 5, 'max_depth': 50, 'loss': 'deviance', 'learning_rate': 0.1}",0.8125,0.75,0.78125,0.71875,0.6451612903225806,0.7421717957308318,0.05719002493975833,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0
45,0.3418427467346191,0.01034490294469022,0.003599071502685547,0.0014312128302734648,1,50,15,1,100,10,deviance,0.01,"{'subsample': 1, 'n_estimators': 50, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 100, 'max_depth': 10, 'loss': 'deviance', 'learning_rate': 0.01}",0.875,0.78125,0.71875,0.71875,0.6129032258064516,0.7421598305733703,0.08579410982588806,81,0.984251968503937,0.9921259842519685,0.9763779527559056,0.9921259842519685,1.0,0.988976377952756,0.008029951989909884
33,1.0141717433929442,0.03731432247824336,0.0042132377624511715,0.0010822916437504093,0.5,800,12,1,25,100,exponential,0.1,"{'subsample': 0.5, 'n_estimators': 800, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 25, 'max_depth': 100, 'loss': 'exponential', 'learning_rate': 0.1}",0.8125,0.75,0.84375,0.71875,0.5806451612903226,0.7421478654159088,0.09116592157731136,82,1.0,1.0,1.0,1.0,1.0,1.0,0.0
170,0.19551620483398438,0.023813142618043803,0.003315591812133789,0.0014127908776107288,0.75,50,8,2,sqrt,150,deviance,0.1,"{'subsample': 0.75, 'n_estimators': 50, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 150, 'loss': 'deviance', 'learning_rate': 0.1}",0.8125,0.71875,0.8125,0.75,0.6129032258064516,0.7420671006030439,0.07342719242044513,83,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0.49387664794921876,0.005442825627715764,0.003353595733642578,0.00010872064973816716,0.5,400,15,4,25,200,deviance,0.1,"{'subsample': 0.5, 'n_estimators': 400, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 25, 'max_depth': 200, 'loss': 'deviance', 'learning_rate': 0.1}",0.78125,0.75,0.78125,0.78125,0.6129032258064516,0.7419743706327175,0.06484495215215978,84,1.0,1.0,1.0,1.0,1.0,1.0,0.0
230,4.826006364822388,0.12098947793134224,0.008290767669677734,0.000737191788744578,0.75,1000,12,5,50,20,exponential,0.001,"{'subsample': 0.75, 'n_estimators': 1000, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 50, 'max_depth': 20, 'loss': 'exponential', 'learning_rate': 0.001}",0.84375,0.78125,0.75,0.78125,0.5483870967741935,0.7419504403177946,0.10030233932377712,85,0.984251968503937,1.0,0.984251968503937,0.9921259842519685,1.0,0.9921259842519685,0.0070427337874008995
395,0.24949498176574708,0.021526363408762277,0.003416109085083008,0.0011733420769470145,0.5,100,20,4,50,10,exponential,0.01,"{'subsample': 0.5, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 50, 'max_depth': 10, 'loss': 'exponential', 'learning_rate': 0.01}",0.8125,0.75,0.71875,0.8125,0.6129032258064516,0.741881640662391,0.07332792425103794,86,0.9212598425196851,0.889763779527559,0.937007874015748,0.937007874015748,0.9453125,0.9260703740157481,0.019752606114121926
4,0.33563718795776365,0.011028237870721559,0.0027007102966308595,0.0001958738048199032,0.75,600,10,2,sqrt,,exponential,1,"{'subsample': 0.75, 'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'loss': 'exponential', 'learning_rate': 1}",0.78125,0.75,0.78125,0.6875,0.6774193548387096,0.7359708528764238,0.04478397322471455,87,1.0,1.0,1.0,1.0,1.0,1.0,0.0
282,11.258157634735108,0.5528476812088454,0.006003332138061523,0.0014455177664130167,1,600,10,5,auto,40,deviance,0.001,"{'subsample': 1, 'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'auto', 'max_depth': 40, 'loss': 'deviance', 'learning_rate': 0.001}",0.75,0.84375,0.71875,0.6875,0.6774193548387096,0.7359708528764238,0.05984992692845089,87,0.984251968503937,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.9921875,0.9905634842519685,0.003155847808038393
273,0.7796309947967529,0.10183306385046272,0.0030359745025634764,0.0013501274894328185,1,50,50,3,auto,30,exponential,0.01,"{'subsample': 1, 'n_estimators': 50, 'min_samples_split': 50, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 30, 'loss': 'exponential', 'learning_rate': 0.01}",0.75,0.78125,0.75,0.71875,0.6774193548387096,0.7358781229060973,0.03497831472634474,89,0.937007874015748,0.9763779527559056,0.9448818897637795,0.9606299212598425,0.984375,0.9606545275590552,0.017987928424533447
455,0.8583370685577393,0.018686008011666217,0.004905843734741211,0.00038057492333761926,0.25,1000,20,2,5,20,deviance,0.1,"{'subsample': 0.25, 'n_estimators': 1000, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 5, 'max_depth': 20, 'loss': 'deviance', 'learning_rate': 0.1}",0.71875,0.8125,0.78125,0.71875,0.6451612903225806,0.735866157748636,0.05769978704334341,90,1.0,1.0,1.0,1.0,1.0,1.0,0.0
468,0.16078248023986816,0.027421403086011525,0.003241157531738281,0.0011108757963132997,0.5,50,15,1,25,75,exponential,0.1,"{'subsample': 0.5, 'n_estimators': 50, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 25, 'max_depth': 75, 'loss': 'exponential', 'learning_rate': 0.1}",0.6875,0.75,0.875,0.75,0.6129032258064516,0.7357614626208481,0.08613542006209535,91,0.9921259842519685,0.9921259842519685,0.9921259842519685,1.0,1.0,0.9952755905511811,0.003857464161863266
