,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
388,0.9218391895294189,0.05500281491462995,0.04101343154907226,0.0033048227107878325,400,10,4,auto,30,False,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 30, 'bootstrap': False}",0.7681159420289855,0.7611940298507462,0.835820895522388,0.7313432835820896,0.7910447761194029,0.7774480712166172,0.03474408218829506,163,1.0,0.9962962962962963,1.0,0.9962962962962963,1.0,0.9985185185185186,0.0018144368465060332
412,0.2718747615814209,0.022018882480816876,0.008367252349853516,0.001624417159246352,50,50,5,50,40,False,"{'n_estimators': 50, 'min_samples_split': 50, 'min_samples_leaf': 5, 'max_features': 50, 'max_depth': 40, 'bootstrap': False}",0.782608695652174,0.8059701492537313,0.7761194029850746,0.6716417910447762,0.8507462686567164,0.7774480712166172,0.05883361419930925,163,0.9365671641791045,0.9296296296296296,0.9407407407407408,0.9037037037037037,0.9333333333333333,0.9287949143173024,0.013068844506894054
205,1.0515194416046143,0.049371397686126486,0.056729364395141604,0.0015291488107201582,600,12,4,10,50,False,"{'n_estimators': 600, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 10, 'max_depth': 50, 'bootstrap': False}",0.7681159420289855,0.7910447761194029,0.8059701492537313,0.7164179104477612,0.8059701492537313,0.7774480712166172,0.0334450798325279,163,1.0,0.9962962962962963,1.0,0.9925925925925926,1.0,0.9977777777777778,0.0029629629629629615
354,0.4815345287322998,0.039833339252553716,0.027631855010986327,0.007765801287799494,200,15,4,sqrt,100,False,"{'n_estimators': 200, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",0.7681159420289855,0.7761194029850746,0.8208955223880597,0.7313432835820896,0.7910447761194029,0.7774480712166172,0.029203419640440192,163,0.996268656716418,0.9962962962962963,0.9962962962962963,0.9851851851851852,0.9962962962962963,0.9940685461580984,0.004441693386055145
351,0.05555305480957031,0.012679484809676683,0.005297279357910157,0.002451670904088859,25,8,3,10,200,False,"{'n_estimators': 25, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 10, 'max_depth': 200, 'bootstrap': False}",0.782608695652174,0.7761194029850746,0.7910447761194029,0.7313432835820896,0.8059701492537313,0.7774480712166172,0.025038009754417757,163,1.0,0.9962962962962963,1.0,0.9962962962962963,1.0,0.9985185185185186,0.0018144368465060332
182,0.2148569107055664,0.0043494907664193725,0.011818981170654297,0.0016752175598959947,100,50,1,sqrt,20,False,"{'n_estimators': 100, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",0.7681159420289855,0.7761194029850746,0.7910447761194029,0.7014925373134329,0.8507462686567164,0.7774480712166172,0.04764541774757641,163,0.9589552238805971,0.9629629629629629,0.9592592592592593,0.9555555555555556,0.9555555555555556,0.958457711442786,0.002757981376858742
336,1.1083643436431885,0.05975919803892677,0.06478691101074219,0.010552567114684316,600,50,1,10,75,False,"{'n_estimators': 600, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 10, 'max_depth': 75, 'bootstrap': False}",0.782608695652174,0.7761194029850746,0.7761194029850746,0.7313432835820896,0.8208955223880597,0.7774480712166172,0.028355911141559137,163,0.9589552238805971,0.9518518518518518,0.9592592592592593,0.9481481481481482,0.9481481481481482,0.9532725262576008,0.004953197797221071
70,0.3000609874725342,0.004899640148650596,0.006033658981323242,0.00010220123239233074,50,20,10,100,10,False,"{'n_estimators': 50, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 100, 'max_depth': 10, 'bootstrap': False}",0.7681159420289855,0.835820895522388,0.7164179104477612,0.7313432835820896,0.835820895522388,0.7774480712166172,0.05035692086148225,163,0.9440298507462687,0.9555555555555556,0.9518518518518518,0.9259259259259259,0.9444444444444444,0.9443615257048092,0.010211753160854787
172,0.4454012393951416,0.02433916367417511,0.022177410125732423,0.0023254947842719764,200,12,3,25,30,True,"{'n_estimators': 200, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 25, 'max_depth': 30, 'bootstrap': True}",0.8115942028985508,0.7761194029850746,0.8059701492537313,0.7014925373134329,0.7910447761194029,0.7774480712166172,0.039806658351466816,163,0.9701492537313433,0.9592592592592593,0.9703703703703703,0.9629629629629629,0.9666666666666667,0.9658817025981203,0.004274391102074811
87,0.347410774230957,0.0063906003186135815,0.020749568939208984,0.0011755903880973184,200,8,2,sqrt,100,True,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': True}",0.782608695652174,0.746268656716418,0.8208955223880597,0.7313432835820896,0.8059701492537313,0.7774480712166172,0.034034823711595046,163,0.996268656716418,0.9888888888888889,0.9962962962962963,0.9814814814814815,0.9925925925925926,0.9911055831951355,0.005538033858238141
283,0.10300869941711426,0.007625135248197225,0.007021188735961914,0.00029847728471728047,50,20,1,auto,40,True,"{'n_estimators': 50, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 40, 'bootstrap': True}",0.7681159420289855,0.7761194029850746,0.7910447761194029,0.7611940298507462,0.7910447761194029,0.7774480712166172,0.012009024184875957,163,0.9664179104477612,0.9740740740740741,0.9703703703703703,0.9666666666666667,0.9629629629629629,0.9680983969043672,0.0037978190856776733
272,0.6719778537750244,0.04537695077993892,0.03937764167785644,0.003667822182321841,400,15,5,auto,75,True,"{'n_estimators': 400, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'auto', 'max_depth': 75, 'bootstrap': True}",0.7681159420289855,0.7910447761194029,0.8059701492537313,0.7313432835820896,0.7910447761194029,0.7774480712166172,0.025993921491186532,163,0.9552238805970149,0.937037037037037,0.9481481481481482,0.9481481481481482,0.9333333333333333,0.9443781094527364,0.00802415801170624
