,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
70,1.9077937602996826,0.05039888767131574,0.021458530426025392,0.0014877931615872495,False,40,100,1,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200}",0.9032258064516129,0.7741935483870968,0.7741935483870968,0.7,0.8666666666666667,0.8035895472384417,0.07255698719262416,1,1.0,0.9918032786885246,1.0,0.991869918699187,1.0,0.9967346394775423,0.003999289074515606
60,1.584331178665161,0.0518658570379149,0.03107938766479492,0.005545929079501085,False,40,75,1,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 75, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200}",0.9032258064516129,0.7741935483870968,0.7741935483870968,0.6666666666666666,0.8666666666666667,0.7969624453591142,0.08254997440032506,2,1.0,0.9918032786885246,1.0,0.991869918699187,1.0,0.9967346394775423,0.003999289074515606
71,1.7376203536987305,0.06272607288277528,0.020346307754516603,0.0005478991663747188,False,40,100,2,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 100, 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 200}",0.9032258064516129,0.7741935483870968,0.7741935483870968,0.6,0.9,0.7902364315114385,0.1106096619352999,3,1.0,0.9918032786885246,1.0,0.975609756097561,0.991869918699187,0.9918565906970546,0.008906097736492605
61,1.417546558380127,0.056292364693359534,0.020711898803710938,0.0015791309697691619,False,40,75,2,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 75, 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 200}",0.9032258064516129,0.8064516129032258,0.7741935483870968,0.5666666666666667,0.9,0.7901183752911521,0.12238439726946211,4,1.0,0.9918032786885246,1.0,0.983739837398374,1.0,0.9951086232173797,0.006510780198125693
52,0.9133863925933838,0.030800090226785457,0.021383190155029298,0.0015124060388435898,False,40,50,3,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 50, 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 200}",0.9032258064516129,0.7741935483870968,0.7741935483870968,0.6,0.8666666666666667,0.7837082416004594,0.10476817999513634,5,1.0,0.9836065573770492,0.9918032786885246,0.975609756097561,0.991869918699187,0.9885779021724643,0.008301708582687015
51,0.9275424003601074,0.022524457273391214,0.01847109794616699,0.002019393422070061,False,40,50,2,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 50, 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 200}",0.9032258064516129,0.7741935483870968,0.7741935483870968,0.6,0.8666666666666667,0.7837082416004594,0.10476817999513634,5,1.0,0.9918032786885246,1.0,0.975609756097561,1.0,0.9934826069572171,0.009483545513233814
72,1.6627699851989746,0.06994251390834566,0.022684764862060548,0.001951040952592662,False,40,100,3,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 100, 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 200}",0.9032258064516129,0.8064516129032258,0.7741935483870968,0.5666666666666667,0.8666666666666667,0.7835901853801729,0.1171250337639613,7,1.0,0.9836065573770492,0.9836065573770492,0.975609756097561,0.983739837398374,0.9853125416500067,0.007976962374259995
50,1.0694396018981933,0.042116868886436364,0.02040276527404785,0.0024954541991894738,False,40,50,1,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 50, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200}",0.9032258064516129,0.7741935483870968,0.7419354838709677,0.6,0.8333333333333334,0.7706710060304393,0.10136421464884954,8,1.0,0.9918032786885246,1.0,0.991869918699187,1.0,0.9967346394775423,0.003999289074515606
53,0.9016459465026856,0.016000687215762203,0.022299671173095705,0.0024704659984516194,False,40,50,4,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 50, 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 200}",0.8709677419354839,0.7741935483870968,0.7419354838709677,0.5666666666666667,0.8666666666666667,0.7640630484030504,0.11060813165137348,9,1.0,0.9836065573770492,0.9836065573770492,0.967479674796748,0.983739837398374,0.9836865253898439,0.010284037066634234
62,1.2555261135101319,0.03354427707907351,0.022654914855957033,0.00342438536893169,False,40,75,3,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 75, 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 200}",0.9032258064516129,0.7741935483870968,0.7741935483870968,0.5333333333333333,0.8333333333333334,0.7639258479308254,0.12439021094928117,10,1.0,0.9836065573770492,1.0,0.967479674796748,0.991869918699187,0.9885912301745969,0.012178789674429293
40,0.6254744052886962,0.022130172071455005,0.021644163131713866,0.002738521803207614,False,40,25,1,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 25, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200}",0.9032258064516129,0.7419354838709677,0.7096774193548387,0.6,0.8333333333333334,0.7576529147123575,0.10417963626785061,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
74,1.4709207534790039,0.0373761585574276,0.020209074020385742,0.0009410467031459163,False,40,100,5,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 100, 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 200}",0.8709677419354839,0.8064516129032258,0.7419354838709677,0.5,0.8666666666666667,0.7573178903034363,0.1365532421136074,12,0.9836065573770492,0.9754098360655737,0.9754098360655737,0.959349593495935,0.983739837398374,0.9755031320805012,0.008882151013421023
73,1.5895737171173097,0.06115189475922277,0.020987176895141603,0.0011868700685915689,False,40,100,4,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 100, 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 200}",0.8709677419354839,0.8064516129032258,0.7419354838709677,0.5,0.8666666666666667,0.7573178903034363,0.1365532421136074,12,0.9918032786885246,0.9836065573770492,0.9754098360655737,0.959349593495935,0.983739837398374,0.9787818206050913,0.011012720973640816
63,1.2540013790130615,0.03160683595375566,0.023223495483398436,0.003096554514185808,False,40,75,4,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 75, 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 200}",0.8709677419354839,0.8064516129032258,0.7419354838709677,0.5,0.8666666666666667,0.7573178903034363,0.1365532421136074,12,0.9918032786885246,0.9836065573770492,0.9754098360655737,0.967479674796748,0.983739837398374,0.9804078368652538,0.008286223763283211
64,1.2050529956817626,0.015418552283639933,0.02481698989868164,0.002794827312863688,False,40,75,5,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 75, 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 200}",0.8709677419354839,0.7741935483870968,0.7419354838709677,0.5,0.8666666666666667,0.7508088446443955,0.13481380561186015,15,0.9918032786885246,0.9836065573770492,0.9836065573770492,0.959349593495935,0.991869918699187,0.9820471811275489,0.01193072844289359
81,0.4710692405700684,0.009042715190977692,0.021696138381958007,0.002209953124265125,False,40,auto,2,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 200}",0.8387096774193549,0.7419354838709677,0.7419354838709677,0.5666666666666667,0.8333333333333334,0.7445167671739894,0.09811442192521763,16,1.0,0.9836065573770492,1.0,0.991869918699187,1.0,0.9950952952152473,0.006550763892278935
80,0.5114110469818115,0.023369075500000728,0.023627758026123047,0.0032270126620631855,False,40,auto,1,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200}",0.8387096774193549,0.7419354838709677,0.7419354838709677,0.5666666666666667,0.8333333333333334,0.7445167671739894,0.09811442192521763,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
91,0.48454856872558594,0.0143828980948289,0.023334455490112305,0.0012726853375121165,False,40,sqrt,2,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 200}",0.8709677419354839,0.7419354838709677,0.7096774193548387,0.5666666666666667,0.8333333333333334,0.7445167671739894,0.10633058594864314,16,1.0,0.9836065573770492,1.0,0.991869918699187,0.991869918699187,0.9934692789550846,0.0061268232896850815
41,0.5861538887023926,0.019549730688272364,0.019881153106689455,0.0010737710524949518,False,40,25,2,15,200,"{'bootstrap': False, 'max_depth': 40, 'max_features': 25, 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 200}",0.8709677419354839,0.7419354838709677,0.7419354838709677,0.5333333333333333,0.8333333333333334,0.7443987109537028,0.11679371490343633,19,1.0,0.9918032786885246,1.0,0.991869918699187,1.0,0.9967346394775423,0.003999289074515606
