,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
79,5.481974697113037,0.3214538294713037,0.10206570625305175,0.0076767739131977375,True,20,100,2,20,1000,"{'bootstrap': True, 'max_depth': 20, 'max_features': 100, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 1000}",0.8676470588235294,0.8823529411764706,0.8382352941176471,0.7910447761194029,0.803030303030303,0.8367952522255193,0.035365105990538985,1,0.9628252788104089,0.9739776951672863,0.9739776951672863,0.9666666666666667,0.955719557195572,0.9666333786014439,0.006949707928131197
73,0.28004021644592286,0.00939705571884231,0.00643463134765625,0.0003970524664254355,True,20,100,2,20,50,"{'bootstrap': True, 'max_depth': 20, 'max_features': 100, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 50}",0.8823529411764706,0.8823529411764706,0.8382352941176471,0.8059701492537313,0.7727272727272727,0.8367952522255193,0.04278795093293802,1,0.9553903345724907,0.9739776951672863,0.9739776951672863,0.9666666666666667,0.959409594095941,0.9658843971339343,0.007532108803774143
78,4.308716869354248,0.04121064933686366,0.08677520751953124,0.011706027941863824,True,20,100,2,20,800,"{'bootstrap': True, 'max_depth': 20, 'max_features': 100, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 800}",0.8676470588235294,0.8823529411764706,0.8382352941176471,0.7761194029850746,0.803030303030303,0.8338278931750742,0.03946758950975508,3,0.9591078066914498,0.9702602230483272,0.9776951672862454,0.9703703703703703,0.959409594095941,0.9673686322984668,0.007149777369815402
77,3.2934468746185304,0.09096568953699183,0.06707639694213867,0.011754032898529151,True,20,100,2,20,600,"{'bootstrap': True, 'max_depth': 20, 'max_features': 100, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 600}",0.8676470588235294,0.8823529411764706,0.8235294117647058,0.7761194029850746,0.8181818181818182,0.8338278931750742,0.03791248531249798,3,0.9591078066914498,0.966542750929368,0.9776951672862454,0.9703703703703703,0.959409594095941,0.9666251378746749,0.0070021917335891404
76,2.237962007522583,0.09832672563408582,0.04833102226257324,0.011385851853146367,True,20,100,2,20,400,"{'bootstrap': True, 'max_depth': 20, 'max_features': 100, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 400}",0.8676470588235294,0.8823529411764706,0.8088235294117647,0.7761194029850746,0.8333333333333334,0.8338278931750742,0.03865511222135298,3,0.9591078066914498,0.9739776951672863,0.9739776951672863,0.9740740740740741,0.955719557195572,0.9673713656591335,0.008200786871028959
75,1.0754257678985595,0.02910522421007225,0.020686960220336913,0.001702389972945708,True,20,100,2,20,200,"{'bootstrap': True, 'max_depth': 20, 'max_features': 100, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 200}",0.8676470588235294,0.8823529411764706,0.8088235294117647,0.8059701492537313,0.803030303030303,0.8338278931750742,0.034236184240953677,3,0.9702602230483272,0.9702602230483272,0.9739776951672863,0.9703703703703703,0.9520295202952029,0.9673796063859028,0.007806413933188242
74,0.5764256000518799,0.04369661165370097,0.011212778091430665,0.00033974362756974594,True,20,100,2,20,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 100, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 100}",0.8676470588235294,0.8823529411764706,0.8382352941176471,0.7761194029850746,0.803030303030303,0.8338278931750742,0.03946758950975508,3,0.9591078066914498,0.9702602230483272,0.966542750929368,0.9666666666666667,0.9520295202952029,0.962921393526203,0.006544861589358733
66,1.7513046741485596,0.09136678150149127,0.039910173416137694,0.004101240438226708,True,20,75,2,20,400,"{'bootstrap': True, 'max_depth': 20, 'max_features': 75, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 400}",0.8676470588235294,0.8676470588235294,0.8382352941176471,0.7910447761194029,0.803030303030303,0.8338278931750742,0.03186143584069374,3,0.9591078066914498,0.9628252788104089,0.9739776951672863,0.9703703703703703,0.959409594095941,0.9651381490270913,0.00600074087214494
69,4.45331768989563,0.10335653971449682,0.10720610618591309,0.014985192543154724,True,20,75,2,20,1000,"{'bootstrap': True, 'max_depth': 20, 'max_features': 75, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 1000}",0.8676470588235294,0.8823529411764706,0.8088235294117647,0.7910447761194029,0.803030303030303,0.8308605341246291,0.037053041572826975,9,0.9591078066914498,0.966542750929368,0.9739776951672863,0.9740740740740741,0.959409594095941,0.9666223841916238,0.006604965390974768
67,3.02842264175415,0.04491961645419344,0.07690763473510742,0.008707116155199607,True,20,75,2,20,600,"{'bootstrap': True, 'max_depth': 20, 'max_features': 75, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 600}",0.8676470588235294,0.8676470588235294,0.7941176470588235,0.7910447761194029,0.8181818181818182,0.827893175074184,0.03400564418163796,10,0.9628252788104089,0.9628252788104089,0.9739776951672863,0.9629629629629629,0.955719557195572,0.9636621545893277,0.005854653223613935
54,0.3855906009674072,0.010125172372201502,0.013009929656982422,0.001707924371473628,True,20,50,2,20,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 50, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 100}",0.8529411764705882,0.8676470588235294,0.7794117647058824,0.7910447761194029,0.8484848484848485,0.827893175074184,0.0356756339508389,10,0.9591078066914498,0.9591078066914498,0.9591078066914498,0.9666666666666667,0.9630996309963099,0.9614179435474652,0.0030458944150513196
56,1.3102358341217042,0.05406644225495932,0.04420490264892578,0.012516837898044074,True,20,50,2,20,400,"{'bootstrap': True, 'max_depth': 20, 'max_features': 50, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 400}",0.8676470588235294,0.8676470588235294,0.8235294117647058,0.7910447761194029,0.7878787878787878,0.827893175074184,0.03500208803979269,10,0.9628252788104089,0.9516728624535316,0.966542750929368,0.9666666666666667,0.955719557195572,0.9606854232111095,0.0060091367092600335
65,0.874042558670044,0.025185767842470324,0.022263288497924805,0.0013908091522757474,True,20,75,2,20,200,"{'bootstrap': True, 'max_depth': 20, 'max_features': 75, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 200}",0.8676470588235294,0.8823529411764706,0.8235294117647058,0.7761194029850746,0.7727272727272727,0.8249258160237388,0.045180909341096455,13,0.9628252788104089,0.9739776951672863,0.9776951672862454,0.9555555555555556,0.959409594095941,0.9658926581830874,0.008520113509479755
68,3.7833264827728272,0.23957458291810502,0.08116841316223145,0.01653912311294511,True,20,75,2,20,800,"{'bootstrap': True, 'max_depth': 20, 'max_features': 75, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 800}",0.8676470588235294,0.8823529411764706,0.8088235294117647,0.7611940298507462,0.803030303030303,0.8249258160237388,0.04458086332200002,13,0.966542750929368,0.966542750929368,0.9739776951672863,0.9740740740740741,0.955719557195572,0.9673713656591335,0.0067187459377222696
63,0.23605523109436036,0.023450456597225892,0.00687098503112793,0.0012108978965122486,True,20,75,2,20,50,"{'bootstrap': True, 'max_depth': 20, 'max_features': 75, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 50}",0.8676470588235294,0.8676470588235294,0.8088235294117647,0.7761194029850746,0.7878787878787878,0.8219584569732937,0.03901838576518878,15,0.9405204460966543,0.9628252788104089,0.966542750929368,0.9666666666666667,0.955719557195572,0.958454939939734,0.009808908119163113
72,0.142097806930542,0.011332273997021719,0.004259061813354492,0.0004021349399236214,True,20,100,2,20,25,"{'bootstrap': True, 'max_depth': 20, 'max_features': 100, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 25}",0.8235294117647058,0.8676470588235294,0.7794117647058824,0.7761194029850746,0.8484848484848485,0.8189910979228486,0.0365201664745042,16,0.9591078066914498,0.9628252788104089,0.9591078066914498,0.9703703703703703,0.940959409594096,0.9584741344315549,0.009674932083641914
